Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,1,female,1.238,2.017,0.659,1.711,2.370,2.370,1.032,1.441,1.192,1.914
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,1,male,1.113,1.811,0.609,1.539,2.148,2.146,0.938,1.299,1.066,1.928
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,2,female,1.215,1.985,0.648,1.671,2.319,2.319,0.991,1.396,1.142,1.908
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,1,2,male,1.123,1.713,0.596,1.495,2.091,2.088,0.958,1.286,1.062,1.860
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,1,female,1.218,1.938,0.641,1.658,2.298,2.298,1.010,1.418,1.148,1.886
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,1,male,1.104,1.794,0.585,1.525,2.110,2.107,0.919,1.285,1.046,1.909
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,2,male,1.127,1.833,0.596,1.558,2.154,2.152,0.952,1.311,1.089,1.909
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,2,3,male,1.102,1.774,0.568,1.492,2.059,2.058,0.923,1.277,1.065,1.867
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,1,female,1.214,2.002,0.657,1.689,2.346,2.345,1.002,1.421,1.146,1.932
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,1,male,1.115,1.773,0.601,1.504,2.105,2.105,0.919,1.271,1.048,1.888
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,2,female,1.154,1.857,0.629,1.590,2.218,2.218,0.966,1.348,1.096,1.921
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,2,male,1.155,1.751,0.575,1.507,2.083,2.082,0.957,1.308,1.070,1.803
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,3,3,female,1.239,1.974,0.651,1.680,2.330,2.328,1.025,1.438,1.154,1.879
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,1,female,1.244,2.005,0.647,1.680,2.327,2.327,1.029,1.428,1.186,1.870
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,1,male,1.169,1.845,0.632,1.539,2.170,2.168,0.944,1.318,1.093,1.855
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,2,male,1.123,1.726,0.617,1.440,2.059,2.058,0.853,1.209,0.986,1.832
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,4,3,male,1.108,1.799,0.624,1.507,2.131,2.130,0.962,1.303,1.103,1.922
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,1,female,1.225,1.932,0.657,1.606,2.262,2.262,1.011,1.390,1.161,1.847
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,1,male,1.124,1.720,0.607,1.460,2.067,2.067,0.985,1.289,1.106,1.838
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,2,female,1.207,1.979,0.619,1.684,2.302,2.301,1.003,1.411,1.158,1.907
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,2,male,1.120,1.835,0.604,1.545,2.149,2.147,0.930,1.313,1.055,1.917
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,5,3,female,1.230,1.969,0.653,1.624,2.277,2.276,1.017,1.396,1.188,1.851
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,1,female,1.215,1.959,0.661,1.661,2.322,2.319,1.021,1.434,1.142,1.909
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,1,male,1.088,1.766,0.578,1.484,2.061,2.061,0.929,1.307,1.034,1.894
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,2,female,1.203,1.893,0.615,1.583,2.198,2.196,0.966,1.363,1.101,1.825
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,2,male,1.151,1.862,0.601,1.573,2.173,2.173,0.932,1.314,1.076,1.887
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,3,female,1.214,1.923,0.655,1.656,2.296,2.295,1.016,1.421,1.135,1.891
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,6,3,male,1.138,1.729,0.589,1.467,2.056,2.055,0.950,1.289,1.063,1.807
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,1,female,1.170,1.814,0.621,1.539,2.160,2.158,0.980,1.347,1.092,1.845
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,1,male,1.145,1.828,0.602,1.564,2.166,2.164,0.963,1.347,1.073,1.891
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,2,female,1.212,1.975,0.666,1.640,2.306,2.305,1.031,1.439,1.166,1.901
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,2,male,1.108,1.861,0.608,1.584,2.191,2.190,0.968,1.333,1.096,1.976
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,3,female,1.269,1.980,0.667,1.685,2.353,2.351,1.039,1.451,1.167,1.853
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,7,3,male,1.126,1.829,0.634,1.515,2.149,2.148,0.945,1.310,1.084,1.908
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,1,female,1.229,1.951,0.662,1.663,2.325,2.323,1.044,1.432,1.183,1.890
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,1,male,1.123,1.836,0.566,1.579,2.145,2.144,0.918,1.300,1.071,1.909
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,2,female,1.215,1.946,0.640,1.692,2.332,2.330,0.990,1.408,1.118,1.917
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,2,male,1.100,1.834,0.582,1.550,2.132,2.131,0.913,1.292,1.052,1.938
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,3,female,1.232,1.991,0.648,1.691,2.339,2.339,1.030,1.418,1.191,1.899
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,8,3,male,1.111,1.712,0.566,1.522,2.087,2.084,0.939,1.277,1.041,1.875
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,9,1,female,1.225,1.987,0.648,1.702,2.350,2.349,1.022,1.418,1.170,1.918
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,9,1,male,1.134,1.797,0.589,1.538,2.128,2.125,0.918,1.306,1.026,1.873
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,9,2,female,1.282,2.031,0.665,1.695,2.359,2.359,1.041,1.456,1.191,1.839
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,9,2,male,1.138,1.755,0.600,1.495,2.095,2.094,0.961,1.304,1.082,1.840
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,9,3,female,1.240,1.972,0.654,1.652,2.306,2.305,1.010,1.417,1.148,1.859
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,1,female,1.233,1.935,0.629,1.676,2.306,2.304,1.012,1.410,1.152,1.868
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,1,male,1.145,1.782,0.605,1.490,2.096,2.095,0.934,1.300,1.055,1.830
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,2,female,1.232,1.986,0.679,1.655,2.333,2.333,1.017,1.413,1.183,1.894
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,2,male,1.137,1.868,0.624,1.569,2.193,2.192,0.960,1.339,1.102,1.927
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,10,3,female,1.239,2.012,0.635,1.729,2.364,2.362,1.043,1.447,1.201,1.906
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,1,female,1.134,1.732,0.595,1.483,2.078,2.076,0.922,1.250,1.060,1.831
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,1,male,1.097,1.636,0.578,1.391,1.969,1.966,0.886,1.209,0.980,1.792
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,2,female,1.152,1.849,0.600,1.598,2.197,2.194,0.958,1.314,1.114,1.905
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,2,male,1.091,1.716,0.582,1.441,2.023,2.022,0.893,1.224,1.026,1.853
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,3,female,1.143,1.664,0.632,1.354,1.986,1.985,0.924,1.225,1.043,1.736
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,1,3,male,1.073,1.717,0.572,1.439,2.011,2.011,0.883,1.235,0.999,1.873
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,1,female,1.132,1.723,0.587,1.449,2.035,2.035,0.915,1.225,1.056,1.797
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,1,male,1.101,1.740,0.563,1.502,2.065,2.063,0.863,1.229,0.994,1.874
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,2,female,1.161,1.688,0.571,1.450,2.021,2.020,0.897,1.226,1.006,1.740
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,2,male,1.072,1.682,0.549,1.433,1.982,1.981,0.853,1.199,0.976,1.848
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,2,3,male,1.066,1.620,0.537,1.357,1.894,1.893,0.845,1.159,0.970,1.777
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,1,female,1.106,0.000,0.600,0.000,0.000,0.000,0.000,1.252,0.000,0.000
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,1,male,1.081,1.722,0.575,1.473,2.049,2.047,0.910,1.238,1.049,1.893
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,2,male,1.071,1.645,0.541,1.418,1.960,1.959,0.873,1.211,0.972,1.828
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,3,3,male,1.086,1.670,0.522,1.464,1.986,1.985,0.889,1.228,1.005,1.829
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,1,female,1.157,1.841,0.573,1.606,2.178,2.176,0.945,1.319,1.070,1.881
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,1,male,1.069,1.666,0.542,1.423,1.965,1.963,0.882,1.221,0.997,1.836
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,2,female,1.145,1.819,0.610,1.526,2.136,2.135,0.896,1.281,1.029,1.864
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,2,male,1.103,1.706,0.570,1.425,1.994,1.994,0.867,1.219,0.986,1.808
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,3,female,1.192,1.854,0.601,1.577,2.178,2.178,0.946,1.329,1.067,1.827
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,4,3,male,1.068,1.631,0.545,1.358,1.902,1.902,0.839,1.180,0.947,1.780
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,1,female,1.162,1.784,0.602,1.521,2.123,2.122,0.944,1.311,1.041,1.827
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,1,male,1.091,1.717,0.575,1.439,2.015,2.014,0.891,1.237,1.011,1.845
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,2,female,1.142,1.869,0.623,1.568,2.191,2.190,0.943,1.330,1.064,1.918
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,2,male,1.098,1.672,0.545,1.424,1.969,1.967,0.879,1.207,1.007,1.792
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,3,female,1.175,1.850,0.597,1.564,2.161,2.160,0.944,1.333,1.076,1.838
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,5,3,male,1.077,1.694,0.577,1.420,1.997,1.997,0.860,1.200,0.990,1.853
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,1,female,1.181,1.845,0.605,1.510,2.116,2.115,0.923,1.320,1.046,1.791
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,1,male,1.096,1.689,0.551,1.454,2.003,2.003,0.890,1.248,0.984,1.828
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,2,female,1.152,1.740,0.583,1.504,2.087,2.085,0.923,1.265,1.042,1.810
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,2,male,1.106,1.727,0.584,1.469,2.053,2.051,0.892,1.235,1.019,1.854
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,3,female,1.120,1.776,0.588,1.520,2.108,2.108,0.923,1.283,1.048,1.882
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,6,3,male,1.134,1.711,0.550,1.466,2.016,2.015,0.891,1.230,1.011,1.777
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,1,female,1.205,1.845,0.608,1.559,2.167,2.166,0.918,1.317,1.039,1.797
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,1,male,1.079,1.684,0.556,1.426,1.981,1.981,0.882,1.220,0.984,1.836
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,2,female,1.130,1.866,0.619,1.544,2.163,2.163,0.926,1.331,1.051,1.915
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,2,male,1.070,1.688,0.557,1.420,1.977,1.977,0.878,1.236,0.986,1.847
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,7,3,male,1.114,1.758,0.561,1.494,2.054,2.053,0.882,1.256,1.005,1.844
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,1,female,1.154,1.685,0.561,1.508,2.068,2.066,0.934,1.241,1.055,1.790
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,1,male,1.033,1.694,0.551,1.445,1.996,1.994,0.883,1.225,1.001,1.930
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,2,female,1.179,1.756,0.573,1.532,2.106,2.105,0.920,1.281,1.008,1.785
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,2,male,1.081,1.698,0.560,1.435,1.994,1.994,0.880,1.221,0.994,1.844
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,3,female,1.211,1.890,0.616,1.613,2.228,2.228,0.931,1.330,1.067,1.840
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,8,3,male,1.082,1.748,0.579,1.463,2.042,2.039,0.884,1.227,1.030,1.884
